pro:String	accPEP:Double	conf:Double	label:Int	fdr:Double	qval:Double
sp|A0AVT1|UBA6_HUMAN	1.4292067394917514E-36	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|A0FGR8|ESYT2_HUMAN	1.8188192962670633E-48	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|A0MZ66|SHOT1_HUMAN	1.5261838316621965E-39	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|A1L0T0|ILVBL_HUMAN	6.495214996487755E-46	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|A5YKK6|CNOT1_HUMAN	1.960140595992191E-43	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|A6NHR9|SMHD1_HUMAN	5.12080821412615E-33	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|ALBU_BOVIN|_CONTAMINANT	7.772886229052774E-114	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|B0I1T2|MYO1G_HUMAN	7.126091268175639E-41	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O00116|ADAS_HUMAN	1.7923675168228134E-56	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O00154|BACH_HUMAN	1.8650541727402112E-29	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O00159|MYO1C_HUMAN	1.1836089216059046E-43	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O00231|PSD11_HUMAN	2.8867100089798526E-56	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O00232|PSD12_HUMAN	9.562495433866906E-49	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O00267|SPT5H_HUMAN	8.311768678554383E-75	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O00299|CLIC1_HUMAN	1.478509356678261E-44	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O00303|EIF3F_HUMAN	6.859427345684547E-34	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O00410|IPO5_HUMAN	4.047773262990136E-133	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O00425|IF2B3_HUMAN	2.3725031491137113E-43	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O00429|DNM1L_HUMAN	1.074188250490667E-90	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O00534|VMA5A_HUMAN	4.363900697175886E-33	140.0	1	0.001148105625717566	3.4674063800277393E-4
sp|O00541|PESC_HUMAN	2.961304052125726E-36	140.0	1	0.001148105625717566	3.4674063800277393E-4
